review,rating,date,bank,source,cleaned_review,char_count,word_count,avg_word_length,has_question,has_exclamation,is_all_caps,sentiment_polarity
Excellent app ever but it needs improvement on speed and transaction lists,1,2025-02-03,Dashen Bank,Google Play,excellent ever need improvement speed transaction list,54.0,7.0,6.86,0.0,0.0,0.0,0.0
እጅግ በጣም ጥሩ አፕ,5,2025-03-31,Commercial Bank of Ethiopia,Google Play,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i can't take screenshot,1,2025-04-18,Commercial Bank of Ethiopia,Google Play,cant take,9.0,2.0,4.0,0.0,0.0,0.0,0.0
"Feature-rich? Absolutely. But the speed? Painfully slow. Seriously, is it communicating with a server on Mars or something?",5,2025-04-16,Dashen Bank,Google Play,absolutely speed painfully slow seriously communicating server mar something,76.0,9.0,7.56,0.0,0.0,0.0,0.0
good,5,2025-04-09,Commercial Bank of Ethiopia,Google Play,good,4.0,1.0,4.0,0.0,0.0,0.0,0.0
Best App,5,2025-05-02,Dashen Bank,Google Play,best,4.0,1.0,4.0,0.0,0.0,0.0,0.0
The Best app😍😍😍,5,2025-03-31,Commercial Bank of Ethiopia,Google Play,best,4.0,1.0,4.0,0.0,0.0,0.0,0.0
i have went to the bank so many times because i couldn't make any transaction i can only see my balance nothing else so what is the point of having mobile banking if i can't make any transaction with it please work in that,1,2025-03-21,Bank of Abyssinia,Google Play,went bank many time make transaction see balance nothing else point mobile banking cant make transaction please work,116.0,18.0,5.5,0.0,0.0,0.0,0.0
awesome app keep going,5,2025-05-14,Dashen Bank,Google Play,awesome keep going,18.0,3.0,5.33,0.0,0.0,0.0,0.0
it's the best app i,5,2025-05-02,Commercial Bank of Ethiopia,Google Play,best,4.0,1.0,4.0,0.0,0.0,0.0,0.0
በጣም ሃሪፍ ነው ግን ብር በሚተላለፍበት ወቅት ተቀንሷል ይላል እላፊ መልክቱ ይደርሳል ግን አይቀንስም,5,2025-03-31,Commercial Bank of Ethiopia,Google Play,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thankyou every one,5,2025-05-25,Commercial Bank of Ethiopia,Google Play,every one,9.0,2.0,4.0,0.0,0.0,0.0,0.0
Fast one,3,2024-09-04,Bank of Abyssinia,Google Play,fast one,8.0,2.0,3.5,0.0,0.0,0.0,0.0
Wow,5,2024-07-19,Bank of Abyssinia,Google Play,wow,3.0,1.0,3.0,0.0,0.0,0.0,0.0
goood,5,2025-04-02,Dashen Bank,Google Play,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
good app,5,2025-05-03,Commercial Bank of Ethiopia,Google Play,good,4.0,1.0,4.0,0.0,0.0,0.0,0.0
better service,5,2025-05-30,Commercial Bank of Ethiopia,Google Play,better service,14.0,2.0,6.5,0.0,0.0,0.0,0.0
"The worst app update ever. Why would you include the ""developer option off"" thing here? Why do you care? It is my phone my money, right? That is the reason why I switched to other banks. So either turn it off or everyone will discontinue their business one by one.",1,2024-11-17,Bank of Abyssinia,Google Play,worst update ever would include developer option thing care phone money right reason switched bank either turn everyone discontinue business one one,148.0,22.0,5.77,0.0,0.0,0.0,0.0
nice app,5,2025-05-18,Commercial Bank of Ethiopia,Google Play,nice,4.0,1.0,4.0,0.0,0.0,0.0,0.0
faster than this version,5,2025-04-30,Dashen Bank,Google Play,faster version,14.0,2.0,6.5,0.0,0.0,0.0,0.0
to slow,3,2025-04-09,Commercial Bank of Ethiopia,Google Play,slow,4.0,1.0,4.0,0.0,0.0,0.0,0.0
Wow,4,2025-03-05,Bank of Abyssinia,Google Play,wow,3.0,1.0,3.0,0.0,0.0,0.0,0.0
Very poor app b/c highly slow to open the app,1,2024-08-11,Bank of Abyssinia,Google Play,poor highly slow open,21.0,4.0,4.5,0.0,0.0,0.0,0.0
it is Very Useful app 👍,5,2025-04-07,Commercial Bank of Ethiopia,Google Play,useful,6.0,1.0,6.0,0.0,0.0,0.0,0.0
This app don't have self activation only you have to look near cbe branch that's disgusting,1,2025-05-09,Commercial Bank of Ethiopia,Google Play,dont self activation look near branch thats disgusting,54.0,8.0,5.88,0.0,0.0,0.0,0.0
Fast and suitable for the customers.,5,2025-01-03,Bank of Abyssinia,Google Play,fast suitable customer,22.0,3.0,6.67,0.0,0.0,0.0,0.0
best,5,2025-04-05,Dashen Bank,Google Play,best,4.0,1.0,4.0,0.0,0.0,0.0,0.0
it is sooo good,5,2025-05-23,Commercial Bank of Ethiopia,Google Play,good,4.0,1.0,4.0,0.0,0.0,0.0,0.0
If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,1,2025-05-05,Commercial Bank of Ethiopia,Google Play,developer reading please fix functionality least button work flawlessly without touching twenty time,100.0,13.0,6.77,0.0,0.0,0.0,0.0
Excellent🙏app,5,2025-04-01,Commercial Bank of Ethiopia,Google Play,excellent,9.0,1.0,9.0,0.0,0.0,0.0,0.0
BoA,5,2025-03-11,Bank of Abyssinia,Google Play,boa,3.0,1.0,3.0,0.0,0.0,0.0,0.0
amazing,5,2025-05-20,Commercial Bank of Ethiopia,Google Play,amazing,7.0,1.0,7.0,0.0,0.0,0.0,0.0
thank you,4,2025-04-30,Dashen Bank,Google Play,thank,5.0,1.0,5.0,0.0,0.0,0.0,0.0
To get good quality,5,2024-07-26,Bank of Abyssinia,Google Play,get good quality,16.0,3.0,4.67,0.0,0.0,0.0,0.0
Dashen bank is my number one choice,5,2025-04-21,Dashen Bank,Google Play,bank number one choice,22.0,4.0,4.75,0.0,0.0,0.0,0.0
its good but add more features such like. bank statement showing,5,2025-04-24,Commercial Bank of Ethiopia,Google Play,good add feature like bank statement showing,44.0,7.0,5.43,0.0,0.0,0.0,0.0
wow apo,5,2025-05-15,Dashen Bank,Google Play,wow,3.0,1.0,3.0,0.0,0.0,0.0,0.0
"One of the best digital platforms I’ve used! From smooth transactions to a seamless shopping experience, Highly recommended",5,2025-04-21,Dashen Bank,Google Play,one best digital platform used smooth transaction seamless shopping experience highly,85.0,11.0,6.82,0.0,0.0,0.0,0.0
"screenshot isn't working, Please modify it",2,2024-07-22,Bank of Abyssinia,Google Play,working please modify,21.0,3.0,6.33,0.0,0.0,0.0,0.0
it's really good 👍,5,2025-04-23,Bank of Abyssinia,Google Play,really good,11.0,2.0,5.0,0.0,0.0,0.0,0.0
why does it ask me for both pin and opt even the opt is touch let alone both,2,2025-04-02,Dashen Bank,Google Play,ask pin opt even opt touch let alone,36.0,8.0,3.62,0.0,0.0,0.0,0.0
"there is nothing super about this app, repeatedly failed transaction and wastes customer valuable time. if you have to do system upgrade do it at a time when there is less traffic demand. your Technical difficulty should not be reflected on customer.",2,2025-04-23,Dashen Bank,Google Play,nothing super repeatedly transaction waste customer valuable time system upgrade time less traffic demand technical difficulty reflected customer,145.0,18.0,7.11,0.0,0.0,0.0,0.0
I can't dijitalize my atm in the apollo app on my phone,1,2025-01-21,Bank of Abyssinia,Google Play,cant phone,10.0,2.0,4.5,0.0,0.0,0.0,0.0
ሰላም አቢሲኒያዎች የሞባይል ባንኪንጋችሁ ተጠቃሚ ነኝ አገልግሎቱን ስላስጀመራችሁለን እናመሰግናለን። ነገር ግን አለፎ አልፎ የነበረው የማስፈንጠሪያው በአግባቡ አለመስራት አልፎ አልፎ ወደመስራት ተቀይሯል ድሮ እንደነበራችሁ እናውቃለን ዘንድሮም ብትኖሩልን እንመርጣለን *ከዘመን አንጉደል*,3,2024-08-10,Bank of Abyssinia,Google Play,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apollo's,1,2024-08-29,Bank of Abyssinia,Google Play,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"It crashes frequently. It launches on Android 8.1 but I don't think it actually works on versions less than 10. If so, it shouldn't be available for download by such devices to begin with, like many other finance apps are not. It was so much better three months ago, upgrades should be for the better.",1,2024-09-06,Bank of Abyssinia,Google Play,crash frequently launch android dont think actually work version less shouldnt available device begin like many finance much better three month ago upgrade better,162.0,24.0,5.79,0.0,0.0,0.0,0.0
good,5,2025-05-07,Commercial Bank of Ethiopia,Google Play,good,4.0,1.0,4.0,0.0,0.0,0.0,0.0
Keep up the good work and pleas add water and electric utility payment,5,2025-02-12,Dashen Bank,Google Play,keep good work plea add water electric utility payment,54.0,9.0,5.11,0.0,0.0,0.0,0.0
it so fanrastic and user friendly app. Bravo Dashen bank thanks.,5,2025-04-21,Dashen Bank,Google Play,user friendly bravo bank thanks,31.0,5.0,5.4,0.0,0.0,0.0,0.0
"after activated the application it not allowed to sign , automatically it is turn off In my phone, why ?",1,2025-03-31,Bank of Abyssinia,Google Play,application sign automatically turn phone,41.0,5.0,7.4,0.0,0.0,0.0,0.0
GOAT 🐐 🐐,5,2024-11-19,Bank of Abyssinia,Google Play,goat goat goat,14.0,3.0,4.0,0.0,0.0,0.0,0.0
lebaa bank,5,2025-04-14,Commercial Bank of Ethiopia,Google Play,bank,4.0,1.0,4.0,0.0,0.0,0.0,0.0
It's useless app downgraded.,1,2024-12-29,Bank of Abyssinia,Google Play,useless,7.0,1.0,7.0,0.0,0.0,0.0,0.0
Good,5,2024-09-16,Bank of Abyssinia,Google Play,good,4.0,1.0,4.0,0.0,0.0,0.0,0.0
it's a good application 👍,5,2025-05-21,Commercial Bank of Ethiopia,Google Play,good application,16.0,2.0,7.5,0.0,0.0,0.0,0.0
When I try to use the application it says 'developer setting should be off' where is the setting to off this play Still doesn't work for me,3,2024-07-24,Bank of Abyssinia,Google Play,try use application say developer setting setting play still doesnt work,72.0,11.0,5.64,0.0,0.0,0.0,0.0
"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",1,2025-05-08,Commercial Bank of Ethiopia,Google Play,sorry developer mode application hack sure developer stupid doesnt make sense,77.0,11.0,6.09,0.0,0.0,0.0,0.0
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,2,2025-05-20,Commercial Bank of Ethiopia,Google Play,option annoying make transaction delaying activity,50.0,6.0,7.5,0.0,0.0,0.0,0.0
I like it.,5,2025-04-07,Commercial Bank of Ethiopia,Google Play,like,4.0,1.0,4.0,0.0,0.0,0.0,0.0
Gooood app my dear,5,2024-08-09,Bank of Abyssinia,Google Play,dear,4.0,1.0,4.0,0.0,0.0,0.0,0.0
ጥሩ ነው,5,2025-01-21,Dashen Bank,Google Play,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wow,5,2025-06-03,Dashen Bank,Google Play,wow,3.0,1.0,3.0,0.0,0.0,0.0,0.0
the Best,1,2025-04-26,Commercial Bank of Ethiopia,Google Play,best,4.0,1.0,4.0,0.0,0.0,0.0,0.0
👌👍,5,2025-06-04,Commercial Bank of Ethiopia,Google Play,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dashen super app is secure band very easy,5,2025-04-29,Dashen Bank,Google Play,super secure band easy,22.0,4.0,4.75,0.0,0.0,0.0,0.0
Great app with great services,5,2024-09-18,Bank of Abyssinia,Google Play,great great service,19.0,3.0,5.67,0.0,0.0,0.0,0.0
i like it,5,2025-04-01,Commercial Bank of Ethiopia,Google Play,like,4.0,1.0,4.0,0.0,0.0,0.0,0.0
"Dashen SuperApp is a lifesaver! Banking, shopping, and bills in one super easy app. The new e-commerce feature is awesome and supports local merchants. Fast, secure, and proudly Ethiopian.Download it now—you won’t regret it!",5,2025-04-21,Dashen Bank,Google Play,lifesaver banking shopping bill one super easy new feature awesome support local merchant fast secure proudly regret,116.0,17.0,5.88,0.0,0.0,0.0,0.0
Wow,1,2025-03-13,Bank of Abyssinia,Google Play,wow,3.0,1.0,3.0,0.0,0.0,0.0,0.0
Good,5,2024-12-30,Bank of Abyssinia,Google Play,good,4.0,1.0,4.0,0.0,0.0,0.0,0.0
Best app I loved it,5,2025-05-18,Commercial Bank of Ethiopia,Google Play,best,4.0,1.0,4.0,0.0,0.0,0.0,0.0
Bes and freindly app,5,2024-09-12,Bank of Abyssinia,Google Play,be,2.0,1.0,2.0,0.0,0.0,0.0,0.0
the chat banking and unique and only app that alow money request!!,5,2025-04-21,Dashen Bank,Google Play,chat banking unique alow money request,38.0,6.0,5.5,0.0,0.0,0.0,0.0
Review,5,2024-08-06,Bank of Abyssinia,Google Play,review,6.0,1.0,6.0,0.0,0.0,0.0,0.0
uselss app dont download,1,2024-07-26,Bank of Abyssinia,Google Play,dont,4.0,1.0,4.0,0.0,0.0,0.0,0.0
Ok,5,2024-08-06,Bank of Abyssinia,Google Play,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBE,5,2025-03-31,Commercial Bank of Ethiopia,Google Play,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Nice to meet you my proud bank in Ethiopia.. I'm a member of this bank, i need to solve my problem of international receiving money for me from my online digital working service's over the world please? I'm working a lot of international money.But i can't get direct in Ethiopia because of don't knowing the legal ways of getting money in Ethiopia please can I get and direct deposit with BoA please 🙏🙏🙏?",5,2024-10-18,Bank of Abyssinia,Google Play,nice meet bank member bank need solve problem international money digital working service world please working lot international cant get direct dont knowing legal way getting money please get direct deposit boa please,218.0,33.0,5.64,0.0,0.0,0.0,0.0
ርይርፍ,3,2024-07-18,Bank of Abyssinia,Google Play,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aadan Axmed Barkhadle,5,2025-01-17,Bank of Abyssinia,Google Play,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
perfect,5,2025-04-02,Dashen Bank,Google Play,perfect,7.0,1.0,7.0,0.0,0.0,0.0,0.0
very good,5,2025-04-07,Commercial Bank of Ethiopia,Google Play,good,4.0,1.0,4.0,0.0,0.0,0.0,0.0
Unreliable!,1,2025-05-02,Commercial Bank of Ethiopia,Google Play,unreliable,10.0,1.0,10.0,0.0,0.0,0.0,0.0
Hey great,5,2025-03-12,Dashen Bank,Google Play,hey great,9.0,2.0,4.0,0.0,0.0,0.0,0.0
It's easy used to operate program and secured 👍👍,4,2024-09-25,Bank of Abyssinia,Google Play,easy used operate program,25.0,4.0,5.5,0.0,0.0,0.0,0.0
አይሰራም አስተካክሉት,5,2024-10-26,Bank of Abyssinia,Google Play,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
best,5,2025-06-04,Commercial Bank of Ethiopia,Google Play,best,4.0,1.0,4.0,0.0,0.0,0.0,0.0
best appearance,5,2025-04-27,Commercial Bank of Ethiopia,Google Play,best appearance,15.0,2.0,7.0,0.0,0.0,0.0,0.0
"It can't actively on initialization, it says incorrect OTP getting the exact OTP",1,2025-03-29,Bank of Abyssinia,Google Play,cant actively say incorrect getting exact,41.0,6.0,6.0,0.0,0.0,0.0,0.0
It is excelent,5,2025-04-01,Commercial Bank of Ethiopia,Google Play,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Best UI mobile banking app, props to design team",5,2025-04-30,Dashen Bank,Google Play,best mobile banking prop design team,36.0,6.0,5.17,0.0,0.0,0.0,0.0
Nice,5,2025-04-15,Dashen Bank,Google Play,nice,4.0,1.0,4.0,0.0,0.0,0.0,0.0
dashen super app is simple faster and reliable.,5,2025-04-21,Dashen Bank,Google Play,super simple faster reliable,28.0,4.0,6.25,0.0,0.0,0.0,0.0
"The Dashen Super App delivers a remarkably fast, highly secure, and exceptionally user-friendly experience, establishing it as a leading application in its category.keep it up and stay ahead Dashen Bank.",5,2025-04-14,Dashen Bank,Google Play,super remarkably fast highly secure exceptionally experience leading application stay ahead bank,96.0,12.0,7.08,0.0,0.0,0.0,0.0
"I tried the new Dash Bank Super App today, and it's amazingly easy and fun.I recommend you download and use it. You really like it",5,2025-02-06,Dashen Bank,Google Play,tried new dash bank super today amazingly easy recommend use really like,72.0,12.0,5.08,0.0,0.0,0.0,0.0
very nice 👌 app for android phone,5,2025-05-21,Commercial Bank of Ethiopia,Google Play,nice android phone,18.0,3.0,5.33,0.0,0.0,0.0,0.0
best app,5,2025-04-23,Dashen Bank,Google Play,best,4.0,1.0,4.0,0.0,0.0,0.0,0.0
"Super Up is the ultimate digital banking app, living up to its name with speed, efficiency, and innovation. Designed for a seamless experience, it offers lightning-fast transactions, top-tier security, and effortless financial management. With Super Up, banking has never been this smooth, smart, and super!",5,2025-02-26,Dashen Bank,Google Play,super ultimate digital banking living name speed efficiency innovation designed seamless experience offer transaction security effortless financial management super banking never smooth smart super,197.0,24.0,7.25,0.0,0.0,0.0,0.0
thankyou,5,2025-04-02,Commercial Bank of Ethiopia,Google Play,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
making transactions has never been easier. the new update is just amazing,5,2025-04-21,Dashen Bank,Google Play,making transaction never easier new update amazing,50.0,7.0,6.29,0.0,0.0,0.0,0.0
